編號	群集	主題	對象	意圖	建議平台	收口層級	優先序
A11-04	A11 通路與經銷商	代償墊付怎麼運作：通路端的金流與請款	通路	實務	產業媒體	L0	P1
A11-05	A11 通路與經銷商	輔具店最常被家屬問的 10 個問題	通路	工具	產業媒體	L1	P2
A11-06	A11 通路與經銷商	藥局賣輔具，跟賣藥有什麼不一樣	藥師／通路	觀念	產業媒體	L0	P2
A11-07	A11 通路與經銷商	智慧輔具 vs 傳統輔具：通路毛利結構差在哪	通路	生意	LinkedIn	L1	P1
A11-08	A11 通路與經銷商	全租賃新制上路，通路端要改什麼	通路	政策	產業媒體	L1	P1
A11-09	A11 通路與經銷商	租賃品的消毒、回收、耗材處理怎麼做	通路	實務	產業媒體	L1	P2
A11-10	A11 通路與經銷商	客人拿著評估報告書走進來，你要做什麼	通路	SOP	產業媒體	L1	P1
A11-11	A11 通路與經銷商	怎麼跟照專、個管師建立關係（合規做法與紅線）	通路	合規	產業媒體	L0	P1
A11-12	A11 通路與經銷商	一張話術卡：三分鐘講完一個定位輔具	通路	工具	產業媒體	L2	P1
A11-13	A11 通路與經銷商	客人問「這會不會不準」，怎麼回才不會翻車	通路	話術	產業媒體	L2	P1
A11-14	A11 通路與經銷商	客人問「跟 AirTag 差在哪」，怎麼回	通路	話術	產業媒體	L2	P1
A11-15	A11 通路與經銷商	客人拿不到補助怎麼辦：自費方案怎麼談	通路	話術	產業媒體	L1	P2
A11-16	A11 通路與經銷商	退貨、保固、換新的通路責任界線	通路	風險	產業媒體	L1	P2
A11-17	A11 通路與經銷商	展示機與體驗設計：怎麼讓長輩願意試	通路	實務	產業媒體	L2	P2
A11-18	A11 通路與經銷商	庫存與尺寸備貨的邏輯	通路	實務	產業媒體	L2	P3
A11-19	A11 通路與經銷商	同業都怎麼談分潤（產業通則）	通路	生意	產業媒體	L0	P2
A11-20	A11 通路與經銷商	加入代理前該問廠商的 12 個問題	通路	工具（招募主力）	產業媒體／LinkedIn	L2	P1
A11-21	A11 通路與經銷商	清消間要幾坪？做租賃的實體門檻全解析	通路	具體門檻	部落格／產業媒體	L1	P1
A11-22	A11 通路與經銷商	「限租賃」類別裡的購置例外是怎麼回事	通路／家屬	制度冷知識	部落格	L1	P1
A11-23	A11 通路與經銷商	核銷退件的常見原因（通路端視角）	通路	高頻雷點	產業媒體	L1	P1
A11-24	A11 通路與經銷商	同一個碼別下，租賃品與購置品的生意差在哪	通路	算帳	LinkedIn	L1	P1
A11-25	A11 通路與經銷商	通路賣的是系統還是單品？兩種生意的差別	通路	重新定位	LinkedIn	L2	P1
A12-01	A12 政策與制度解讀	長照 3.0 智慧科技輔具全租賃新制：一次看懂	全	政策	部落格	L0	P1
A12-02	A12 政策與制度解讀	4 萬 vs 6 萬：兩組額度怎麼選（決策樹）	家屬	最高優先	部落格／IG	L1	P1
A12-03	A12 政策與制度解讀	「二擇一」的隱藏代價：選錯鎖三年	家屬	警示	Threads／部落格	L1	P1
A12-04	A12 政策與制度解讀	首批通過審議的智慧輔具有哪些、分別解決什麼	全	資訊	部落格	L2	P1
A12-05	A12 政策與制度解讀	產品怎麼進入給付清單：廠商端的審議流程	通路／同業	專業	產業媒體	L1	P2
A12-06	A12 政策與制度解讀	給付碼別怎麼讀，以及怎麼自己去資料庫查	家屬	教學	部落格／影片	L2	P1
A12-07	A12 政策與制度解讀	甲類輔具評估人員是誰、他能決定什麼、不能決定什麼	家屬	觀念	部落格	L0	P1
A12-08	A12 政策與制度解讀	CMS 長照需要等級怎麼評，第 2 級是什麼概念	家屬	科普	部落格	L0	P1
A12-09	A12 政策與制度解讀	輕度失智可能評不到 2 級：制度的灰色地帶	家屬／公共	議題	投書／Threads	L0	P1
A12-10	A12 政策與制度解讀	代償墊付：為什麼一定要經過特約單位	家屬	觀念	部落格	L1	P2
A12-11	A12 政策與制度解讀	部分負擔 0%／10%／30% 怎麼算，實付差多少	家屬	試算	部落格	L1	P1
A12-12	A12 政策與制度解讀	核定後 6 個月效期：時間怎麼抓才不會過期	家屬	實務	部落格	L1	P2
A12-13	A12 政策與制度解讀	原住民地區與離島的加計與免部分負擔規定	家屬	在地	部落格	L1	P3
A12-14	A12 政策與制度解讀	住宿機構照顧品質獎勵計畫：機構端怎麼申請	機構	政策	產業媒體	L1	P1
A12-15	A12 政策與制度解讀	智慧輔助照顧科技的五項指標與涵蓋率門檻	機構	專業	產業媒體	L2	P1
A12-16	A12 政策與制度解讀	失智症政策綱領 3.0：跨 12 部會是哪些、跟你有什麼關係	公共	政策	投書／部落格	L0	P3
A12-17	A12 政策與制度解讀	《失智症基本法》草案在吵什麼	公共	議題	投書	L0	P3
A12-18	A12 政策與制度解讀	年輕型失智納入長照，實務上怎麼跑	家屬	政策	部落格	L0	P2
A12-19	A12 政策與制度解讀	出院準備服務：醫院怎麼在 24 小時內找上你	家屬	資訊	部落格	L0	P1
A12-20	A12 政策與制度解讀	政策每年都在改，家屬要怎麼追（訂閱來源清單）	家屬	工具	部落格	L0	P2
A13-01	A13 品類失敗與社會觀察	一座城市三年只賣出一百多台定位器，為什麼	公共	數據帖	Threads／投書	L0	P1
A13-02	A13 品類失敗與社會觀察	免費的識別手鍊推了 25 年，滲透率仍不到一成	公共	數據帖	Threads／投書	L0	P1
A13-03	A13 品類失敗與社會觀察	「我沒有失智」——被標籤化的抗拒	公共	洞察	Threads	L0	P1
A13-04	A13 品類失敗與社會觀察	為什麼長輩會把手錶拔掉：三個真實理由	家屬	洞察	Dcard／Threads	L0	P1
A13-05	A13 品類失敗與社會觀察	忘記充電，是使用者的問題還是設計的問題	公共	反思	Threads	L0	P2
A13-06	A13 品類失敗與社會觀察	「有效配戴率」才該是主要指標，不是定位精準度	公共／3C	新框架	Mobile01／產業媒體	L1	P1
A13-07	A13 品類失敗與社會觀察	家屬買了卻沒在用的東西，都放在哪裡	家屬	共鳴	Dcard	L0	P2
A13-08	A13 品類失敗與社會觀察	失智友善社區與科技，各自該負責什麼	公共	願景	投書	L0	P3
A13-09	A13 品類失敗與社會觀察	補助制度的設計，如何反過來決定產品長什麼樣	公共	深度	投書／產業媒體	L0	P2
A13-10	A13 品類失敗與社會觀察	當「防走失」變成一門生意	公共	批判	投書	L0	P3
A13-11	A13 品類失敗與社會觀察	近 40 萬失智人口，市場卻很小——矛盾在哪	公共	深度	投書／產業媒體	L0	P1
A13-12	A13 品類失敗與社會觀察	平安符、鞋墊、防拆帶：整個產業都在繞過同一個問題	公共	洞察	Threads／產業媒體	L1	P1
A13-13	A13 品類失敗與社會觀察	當政府自己做群眾網路：一個縣市的實驗帶來什麼啟示	公共	案例	部落格	L0	P2
A13-14	A13 品類失敗與社會觀察	一個城市要多少節點，群眾網路才真的有用	3C／公共	誠實科普	Mobile01	L1	P1
A13-15	A13 品類失敗與社會觀察	作業系統內建的尋找網路，改變了這個品類什麼	3C	技術觀察	Mobile01	L1	P2
A13-16	A13 品類失敗與社會觀察	「最後被偵測到的位置」在協尋實務上夠不夠用	公共	誠實辯論	Threads／部落格	L1	P1
A13-17	A13 品類失敗與社會觀察	走失協尋的黃金時間到底是多久	公共	科普	部落格	L0	P2
A13-18	A13 品類失敗與社會觀察	警政、社政、衛政在協尋上的分工與斷點	公共	深度	投書	L0	P3
A13-19	A13 品類失敗與社會觀察	國際比較：日本、荷蘭、英國怎麼處理失智走失	公共	視野	部落格	L0	P3
A13-20	A13 品類失敗與社會觀察	十年後，「防走失」這件事會長什麼樣	公共	願景	Threads	L0	P3
A14-01	A14 專業人員增能	繼續教育 6 年 120 點怎麼湊：實務攻略	專業人員	導流主力	部落格／FB 社團	L0	P1
A14-02	A14 專業人員增能	網路課程積分採認上限調整後的影響	專業人員	政策	部落格	L0	P1
A14-03	A14 專業人員增能	哪些單位辦的課可以採認積分（資格對照）	專業人員	工具	部落格	L0	P1
A14-04	A14 專業人員增能	安全看視類輔具的評估要點	評估人員	專業	產業媒體	L1	P1
A14-05	A14 專業人員增能	走失風險評估怎麼做：可用的工具與問法	評估人員	專業	產業媒體	L1	P1
A14-06	A14 專業人員增能	失智程度與走失風險的關係（實務判讀）	評估人員	專業	產業媒體	L0	P2
A14-07	A14 專業人員增能	家屬說「他不會走丟」，評估者怎麼判斷	評估人員	實務	產業媒體	L0	P2
A14-08	A14 專業人員增能	配適與教學：定位輔具怎麼教家屬用	評估人員	專業	產業媒體	L2	P1
A14-09	A14 專業人員增能	不適合使用定位輔具的個案類型（誠實寫出來）	評估人員	信任建立	產業媒體	L2	P1
A14-10	A14 專業人員增能	同意書與隱私告知該怎麼寫	機構	合規	產業媒體	L1	P2
A14-11	A14 專業人員增能	交班紀錄要寫到什麼程度才算完整	機構	實務	產業媒體	L1	P2
A14-12	A14 專業人員增能	機構離區事件的檢討會怎麼開	機構	工具	產業媒體	L1	P2
A14-13	A14 專業人員增能	日照接送空窗期的風險控管	機構	實務	產業媒體	L1	P1
A14-14	A14 專業人員增能	夜班人力與異常告警的搭配設計	機構	方法	產業媒體	L2	P2
A14-15	A14 專業人員增能	照服員對新科技的抗拒，怎麼解	機構	現場	FB 社團	L1	P2
A14-16	A14 專業人員增能	評鑑會怎麼看科技導入	機構	攻略	產業媒體	L1	P1
A14-17	A14 專業人員增能	智慧照顧獎勵的涵蓋率門檻怎麼算	機構	試算	產業媒體	L2	P1
A14-18	A14 專業人員增能	機構導入前的 10 題自我檢查	機構	工具	產業媒體	L2	P2
A14-19	A14 專業人員增能	照專、治療師、廠商三方怎麼對話才有效率	專業人員	方法	產業媒體	L1	P2
A14-20	A14 專業人員增能	專業人員的利益迴避界線在哪（為什麼不能推薦品牌）	專業人員	合規	產業媒體	L0	P1
A15-01	A15 通路現場與轉介節點	特約藥局的一天：輔具是怎麼賣出去的	藥師／通路	紀實	產業媒體	L0	P2
A15-02	A15 通路現場與轉介節點	藥師的 3 分鐘話術卡	藥師	工具	產業媒體	L2	P1
A15-03	A15 通路現場與轉介節點	輔具中心的評估現場會發生什麼	家屬	期待管理	部落格	L0	P1
A15-04	A15 通路現場與轉介節點	出院準備團隊的 24 小時篩選流程	家屬／醫護	資訊	部落格／醫護社群	L0	P1
A15-05	A15 通路現場與轉介節點	個管師給名單的界線：為什麼他不能替你選	家屬	觀念	部落格	L0	P1
A15-06	A15 通路現場與轉介節點	拿到評估報告書之後，接下來該做什麼	家屬	SOP	部落格	L1	P1
A15-07	A15 通路現場與轉介節點	展示與體驗：怎麼讓長輩願意試穿	通路	實務	產業媒體	L2	P2
A15-08	A15 通路現場與轉介節點	尺寸與修剪：現場配適的細節	通路	實務	產業媒體／影片	L3	P2
A15-09	A15 通路現場與轉介節點	客訴最常出現在哪一步（通路端統計視角）	通路	洞察	產業媒體	L1	P2
A15-10	A15 通路現場與轉介節點	租賃品的回收與清消流程	通路	實務	產業媒體	L1	P3
A15-11	A15 通路現場與轉介節點	長輩過世後，裝置與資料怎麼收尾	家屬	少有人寫	部落格	L1	P2
A15-12	A15 通路現場與轉介節點	換季、換鞋、換照顧者的銜接	家屬	實務	部落格	L2	P3
A15-13	A15 通路現場與轉介節點	偏鄉與離島的配送與售後	通路	現實	產業媒體	L1	P3
A15-14	A15 通路現場與轉介節點	里長與社區據點能扮演什麼角色	公共	資源	部落格	L0	P3
A15-15	A15 通路現場與轉介節點	失智共照中心的角色與「綠色通道」	家屬	資訊	部落格	L0	P1
A15-16	A15 通路現場與轉介節點	縣市捐贈專案是怎麼運作的	公共	紀實	部落格／媒體	L1	P2
A15-17	A15 通路現場與轉介節點	一個縣市從零到有的導入路徑	公共／通路	案例	產業媒體	L2	P1
A15-18	A15 通路現場與轉介節點	媒體報導對在地轉介的實際影響	公共	觀察	產業媒體	L0	P3
A15-19	A15 通路現場與轉介節點	通路端最常誤解產品的三件事	通路	訓練	產業媒體	L2	P1
A15-20	A15 通路現場與轉介節點	轉介節點地圖（1966 → 評估 → 特約 → 配適）	全	工具	部落格／IG	L1	P1
A16-01	A16 留存轉介與口碑	第 4 年到了，然後呢：系統使用權的續與不續	家屬	留存斷點	部落格	L2	P2
A16-02	A16 留存轉介與口碑	長輩狀況改變時，裝置要跟著換嗎	家屬	生命週期	部落格	L2	P2
A16-03	A16 留存轉介與口碑	換鞋、換季、換照顧者的三個銜接點	家屬	留存	部落格	L2	P3
A16-04	A16 留存轉介與口碑	長輩過世後，裝置與資料怎麼收尾	家屬	信任建立	部落格	L1	P2
A16-05	A16 留存轉介與口碑	用了一年之後，我最常用的其實是這個功能	家屬	使用深化	Dcard／Threads	L2	P2
A16-06	A16 留存轉介與口碑	為什麼有些家庭買了就不用了	公共	自我檢討	Threads／部落格	L0	P1
A16-07	A16 留存轉介與口碑	家屬之間是怎麼互相推薦的（觀察）	公共	口碑機制	部落格	L0	P3
A16-08	A16 留存轉介與口碑	一個日照中心導入後，同區同業問了什麼	機構	B2B 轉介	LinkedIn／產業媒體	L2	P1
A16-09	A16 留存轉介與口碑	從一層樓擴到全院：擴點的時機與條件	機構	續購	產業媒體	L2	P1
A16-10	A16 留存轉介與口碑	機構換系統的真實成本（不只是設備錢）	機構	轉換成本	LinkedIn	L2	P2
A16-11	A16 留存轉介與口碑	評鑑之後，機構會想加什麼	機構	續購時機	產業媒體	L2	P2
A16-12	A16 留存轉介與口碑	導入滿一年的機構，回頭看會想改什麼	機構	誠實回顧	產業媒體	L1	P1
A16-13	A16 留存轉介與口碑	通路商怎麼判斷一支產品值不值得繼續推	通路	通路留存	產業媒體	L1	P2
A16-14	A16 留存轉介與口碑	客訴處理的速度，怎麼影響通路願不願意再進貨	通路	通路關係	產業媒體	L1	P2
A16-15	A16 留存轉介與口碑	同業推薦：輔具店之間是怎麼交換情報的	通路	口碑機制	產業媒體	L0	P3
A16-16	A16 留存轉介與口碑	一份使用者見證該怎麼取得才不失真	全	方法論＋合規	部落格	L1	P2
A16-17	A16 留存轉介與口碑	為什麼我們公開失敗案例	全	信任建立	Threads／部落格	L1	P1
A16-18	A16 留存轉介與口碑	從「買過的人」變成「會講的人」中間缺什麼	全	口碑設計	部落格	L0	P3
A16-19	A16 留存轉介與口碑	售後服務的哪一件事最容易被記住	全	留存洞察	部落格	L1	P3
A16-20	A16 留存轉介與口碑	三年之後，這個客戶還在嗎（留存的真實樣貌）	全	長期視角	LinkedIn	L1	P2
